년,월,국적지역,등록외국인 수
2022,03,짐바브웨,96
2022,03,잠비아,89
2022,03,브루나이,87
2022,03,조지아,81
2022,03,시에라리온,80
2022,03,마카오,80
2022,03,파라과이,76
2022,03,가봉,73
2022,03,슬로바크,72
2022,03,코스타리카,72
2022,03,크로아티아,72
2022,03,과테말라,71
2022,03,영국외지민,69
2022,03,아르메니아,69
2022,03,파나마,67
2022,03,도미니카공화국,67
2022,03,세르비아,64
2022,03,라트비아,63
2022,03,볼리비아,58
2022,03,팔레스타인,56
2022,03,엘살바도르,51
2022,03,쿠웨이트,50
2022,03,몰도바,46
2022,03,온두라스,44
2022,03,슬로베니아,43
2022,03,부르키나파소,42
2022,03,에스토니아,41
2022,03,토고,41
2022,03,모잠비크,40
2022,03,피지,40
2022,03,부탄,39
2022,03,자메이카,38
2022,03,카타르,35
2022,03,니카라과,35
2022,03,쿠바,35
2022,03,국제연합,34
2022,03,레바논,34
2022,03,오만,34
2022,03,미등록국가,34
2022,03,아이티,33
2022,03,우루과이,30
2022,03,마다가스카르,28
2022,03,남수단공화국,27
2022,03,말라위,24
2022,03,알바니아,23
2022,03,소말리아,21
2022,03,콩고,21
2022,03,키프로스,20
2022,03,기니비사우,19
2022,03,보츠와나,19
2022,03,트리니다드토바고,18
2022,03,룩셈부르크,17
2022,03,베냉,16
2022,03,마케도니아,13
2022,03,에리트레아,13
2022,03,에스와티니,13
2022,03,아이슬란드,12
2022,03,모리타니,11
2022,03,모리셔스,11
2022,03,차드,10
2022,03,세인트크리스토퍼네비스,9
2022,03,몬테네그로,8
2022,03,바누아투,7
2022,03,적도기니,7
2022,03,니제르,7
2022,03,몰타,7
2022,03,보스니아헤르체고비나,7
2022,03,도미니카연방,6
2022,03,중앙아프리카공화국,6
2022,03,바레인,6
2022,03,파푸아뉴기니,5
