년,월,체류자격,등록외국인 수
2023,06,비전문취업E9,278820
2023,06,선원취업E10,19775
2023,06,방문동거F1,104981
2023,06,거주F2,48455
2023,06,동반F3,25725
2023,06,영주F5,181722
2023,06,결혼이민F6,137892
2023,06,방문취업H2,102120
2023,06,기타,88908
2023,07,문화예술D1,39
2023,07,유학D2,137291
2023,07,일반연수D4,66072
2023,07,종교D6,1404
2023,07,상사주재D7,1124
2023,07,기업투자D8,7255
2023,07,무역경영D9,2310
2023,07,교수E1,1945
2023,07,회화지도E2,13662
2023,07,연구E3,3792
2023,07,기술지도E4,204
2023,07,전문직업E5,228
2023,07,예술흥행E6,4005
2023,07,특정활동E7,30261
2023,07,계절근로E8,15758
2023,07,비전문취업E9,283667
2023,07,선원취업E10,19988
2023,07,방문동거F1,106276
2023,07,거주F2,49728
2023,07,동반F3,26168
2023,07,영주F5,181749
2023,07,결혼이민F6,138354
2023,07,방문취업H2,3369
2023,07,기타,187990
2023,08,문화예술D1,26
2023,08,유학D2,138929
2023,08,일반연수D4,61166
2023,08,종교D6,1376
2023,08,상사주재D7,1103
2023,08,기업투자D8,7299
2023,08,무역경영D9,2349
2023,08,교수E1,1972
2023,08,회화지도E2,13727
2023,08,연구E3,3846
2023,08,기술지도E4,206
2023,08,전문직업E5,224
2023,08,예술흥행E6,4194
2023,08,특정활동E7,33973
2023,08,계절근로E8,15969
2023,08,비전문취업E9,286957
2023,08,선원취업E10,20061
2023,08,방문동거F1,107596
2023,08,거주F2,50789
2023,08,동반F3,26822
2023,08,영주F5,182337
2023,08,결혼이민F6,138857
2023,08,방문취업H2,3316
2023,08,기타,188386
