국  적,성별,0세~4세,5세~9세,10세~14세,15세~19세,20세~24세,25세~29세,30세~34세,35세~39세,40세~44세,45세~49세,50세~54세,55세~59세,60세~64세,65세~69세,70세~74세,75세~79세,80세이상
세르비아,여,4,12,8,32,100,222,126,61,51,51,27,23,28,7,4,2,0
리투아니아,남,7,7,6,16,136,238,235,155,135,91,76,56,39,15,2,1,0
리투아니아,여,9,4,11,66,214,190,137,79,64,56,40,40,19,8,1,0,0
라 트 비 아,남,6,10,8,22,93,189,211,199,176,95,91,57,46,12,5,5,0
라 트 비 아,여,7,8,10,43,99,130,98,60,49,50,33,17,19,11,5,1,2
벨 로 루 시,남,9,7,14,13,60,142,172,202,95,72,54,39,27,16,2,0,1
벨 로 루 시,여,9,7,29,76,154,167,109,67,32,35,33,20,13,11,1,0,0
슬로베니아,남,4,10,7,14,79,128,174,173,198,138,135,91,48,40,9,5,2
슬로베니아,여,6,7,9,26,108,89,72,54,58,35,37,34,25,20,5,0,1
몬테네그로,남,1,0,0,8,53,126,120,98,63,47,42,40,22,3,0,0,0
몬테네그로,여,0,0,1,3,8,11,6,3,2,1,3,2,2,1,1,0,0
에스토니아,남,4,1,5,20,58,134,108,100,90,71,63,44,22,9,4,5,1
에스토니아,여,2,2,16,51,94,99,63,39,32,42,21,32,8,10,3,1,0
조 지 아,남,2,3,2,12,38,96,119,87,55,40,18,23,8,4,1,2,1
조 지 아,여,3,3,3,18,38,21,50,27,12,14,6,6,8,1,1,0,0
아제르바이잔,남,3,2,3,40,61,135,106,126,57,22,26,15,4,4,0,0,0
아제르바이잔,여,4,5,0,21,50,62,27,35,16,11,3,8,5,6,0,0,0
룩셈부르크,남,6,11,12,14,62,48,59,52,31,40,73,31,17,15,8,6,0
룩셈부르크,여,2,4,8,31,60,43,24,18,14,23,25,19,5,10,3,3,2
아이슬란드,남,6,1,3,27,56,32,18,34,59,34,37,28,26,11,3,4,0
아이슬란드,여,2,3,6,25,34,26,20,13,18,12,18,12,11,10,3,1,0
알 바 니 아,남,1,1,1,14,81,60,41,27,24,19,9,5,1,1,0,0,0
알 바 니 아,여,0,0,3,31,44,54,19,9,10,5,5,2,2,0,0,0,0
유고슬라비아,남,0,1,3,10,39,53,56,32,47,30,15,14,13,6,1,0,0
유고슬라비아,여,0,0,4,12,26,23,19,9,13,9,2,3,1,2,0,0,0
몰      타,남,1,0,3,9,15,18,34,27,21,22,33,20,22,12,2,2,0
몰      타,여,4,1,0,4,13,23,16,3,14,6,11,26,10,4,5,1,0
몰  도  바,남,0,1,0,3,17,17,15,20,6,3,2,2,0,2,0,1,0
몰  도  바,여,1,0,1,8,40,28,20,19,13,4,5,4,2,0,0,0,0
아르메니아,남,1,2,3,5,5,18,29,30,13,8,17,10,7,0,2,0,0
아르메니아,여,3,0,1,13,34,30,15,16,11,11,7,12,5,2,2,0,0
영국 외지민,남,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영국 외지민,여,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
보스니아-헤르체고비나,남,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
보스니아-헤르체고비나,여,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
리히텐슈타인,남,0,2,0,0,5,7,12,3,7,7,9,0,2,1,2,0,0
리히텐슈타인,여,1,1,2,0,2,8,4,3,4,0,2,1,2,1,0,0,0
코소보,남,2,0,0,2,9,4,4,9,10,8,3,0,1,0,1,0,0
코소보,여,0,0,0,2,6,6,2,4,0,1,0,0,0,0,0,0,0
안  도  라,남,1,0,0,2,9,5,4,2,9,5,5,2,0,1,0,0,0
안  도  라,여,0,0,4,4,2,1,0,2,1,6,1,0,3,0,0,0,0
모  나  코,남,0,1,2,1,4,5,4,2,2,2,0,4,5,3,1,3,1
모  나  코,여,0,0,0,1,0,4,1,0,0,0,2,2,2,4,0,2,0
마케도니아,남,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
마케도니아,여,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
산 마 리 노,남,1,0,0,1,2,2,3,3,1,2,5,1,0,1,0,0,1
산 마 리 노,여,0,0,0,0,0,3,1,0,0,1,1,0,0,0,1,0,0
교황청,남,0,0,0,0,0,0,0,0,1,0,3,3,2,2,0,0,0
교황청,여,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
세르비아 몬테네그로,남,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
세르비아 몬테네그로,여,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영국 외지시민,남,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영국 외지시민,여,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오스트레일리아,남,2987,2319,2146,3106,5717,6482,7752,8252,7938,8212,6457,6067,4737,3801,2825,1433,661
오스트레일리아,여,2919,2216,2372,4198,6852,5781,5652,5479,5268,5913,5221,5429,4575,3807,2637,1105,511
뉴 질 랜 드,남,617,426,450,675,1264,2112,2001,2234,1550,1361,1440,1567,1062,672,464,210,93
뉴 질 랜 드,여,613,421,397,791,1388,1657,1338,1117,913,1211,1388,1404,987,653,357,176,72
피      지,남,37,34,36,44,135,241,279,334,159,141,149,104,58,28,19,5,2
피      지,여,35,35,20,49,76,135,203,162,114,120,100,106,58,33,20,6,1
키 리 바 시,남,1,0,0,3,40,45,45,57,33,20,11,9,5,3,0,0,0
키 리 바 시,여,2,1,3,4,4,8,10,16,15,3,7,8,4,1,0,0,0
팔  라  우,남,2,1,6,9,7,12,8,11,18,20,20,5,12,5,0,0,0
팔  라  우,여,4,2,4,5,19,17,26,21,22,13,34,12,13,5,0,0,1
투  발  루,남,1,1,0,1,23,29,23,21,14,11,3,6,8,0,0,0,0
투  발  루,여,0,1,0,1,6,6,7,5,9,5,5,5,1,0,0,0,0
파푸아뉴기니,남,0,0,2,0,8,15,19,23,18,18,24,17,8,1,0,0,0
파푸아뉴기니,여,0,0,1,2,8,11,15,11,25,7,5,3,1,2,0,0,0
바 누 아 투,남,0,0,1,6,49,39,26,23,20,7,5,5,2,2,0,0,0
바 누 아 투,여,0,1,1,0,2,5,3,1,3,1,2,0,0,0,0,0,0
미이크로네시아,남,2,0,4,3,13,19,20,10,10,17,8,8,4,3,1,0,0
미이크로네시아,여,1,2,4,10,21,13,10,14,16,15,6,6,2,0,2,1,0
사  모  아,남,1,0,0,0,19,18,6,19,5,10,2,3,3,0,1,0,0
사  모  아,여,0,1,0,0,3,8,6,7,6,6,0,2,3,1,0,0,0
솔로몬군도,남,0,2,0,0,0,19,16,19,17,26,23,2,4,7,0,0,0
솔로몬군도,여,0,1,0,2,0,5,7,6,6,2,2,4,1,0,0,0,0
통      가,남,0,0,0,1,5,6,7,5,5,13,14,14,5,0,1,1,0
통      가,여,0,0,0,2,2,6,9,8,9,6,2,3,7,0,1,0,0
마 샬 군 도,남,1,1,0,0,4,2,7,4,5,7,7,2,7,0,1,0,0
마 샬 군 도,여,0,0,0,3,6,13,8,4,2,1,5,2,0,1,0,0,0
나  우  루,남,0,0,0,0,3,1,0,5,4,6,10,3,4,0,0,0,0
나  우  루,여,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0
남아프리카 공화국,남,38,30,35,125,659,998,922,537,541,532,432,341,254,101,41,11,4
남아프리카 공화국,여,40,27,33,155,1041,1283,761,308,206,234,227,234,143,65,16,12,6
이  집  트,남,94,48,35,90,344,858,1200,1011,661,459,393,228,103,51,26,4,2
이  집  트,여,110,35,31,60,205,249,177,114,81,53,47,34,27,5,3,2,0
모  로  코,남,11,5,11,122,453,390,289,196,164,143,111,83,52,45,17,6,5
모  로  코,여,13,5,16,128,627,434,205,76,68,68,61,44,30,28,10,2,3
에티오피아,남,11,10,6,21,73,197,226,192,152,141,82,32,15,4,2,0,7
에티오피아,여,4,1,11,26,67,99,88,40,21,24,13,5,1,2,1,1,0
가      나,남,5,2,1,12,97,289,412,447,425,362,256,168,50,14,4,1,2
가      나,여,4,3,2,5,42,74,59,63,53,62,40,21,14,5,0,0,1
리  비  아,남,26,13,11,76,284,409,484,480,448,245,120,32,19,6,1,1,1
리  비  아,여,28,11,1,8,25,28,13,4,7,5,5,6,1,5,0,0,0
나이지리아,남,19,11,14,25,64,142,267,383,388,383,240,139,40,23,5,1,0
나이지리아,여,29,10,6,14,50,65,98,65,53,57,59,27,20,5,3,0,0
케      냐,남,10,10,8,20,87,133,160,165,102,112,88,73,26,13,7,1,0
케      냐,여,7,3,19,17,77,97,93,83,59,65,47,33,14,3,0,1,0
튀  니  지,남,7,2,4,18,72,130,127,140,90,75,55,44,23,10,12,1,0
